neuron_id,spike_time
0,2.1500000000999964 ms
0,6.450000000100024 ms
0,12.300000000100107 ms
0,16.85000000010011 ms
0,20.250000000099917 ms
0,24.650000000099666 ms
0,29.650000000099382 ms
0,33.400000000099176 ms
0,37.300000000098954 ms
0,42.30000000009867 ms
0,45.900000000098466 ms
0,49.65000000009825 ms
0,54.550000000097974 ms
0,60.10000000009766 ms
0,63.45000000009747 ms
0,66.85000000009808 ms
0,72.80000000009943 ms
0,76.25000000010021 ms
0,79.85000000010103 ms
0,87.25000000010272 ms
0,91.30000000010364 ms
0,96.20000000010475 ms
0,99.35000000010547 ms
0,102.75000000010624 ms
0,106.30000000010705 ms
0,110.35000000010797 ms
0,113.45000000010867 ms
0,117.75000000010965 ms
0,121.80000000011057 ms
0,124.95000000011129 ms
0,131.60000000011277 ms
0,138.40000000011432 ms
0,143.40000000011545 ms
0,147.1000000001163 ms
0,150.70000000011711 ms
0,155.10000000011811 ms
0,158.70000000011893 ms
0,162.30000000011975 ms
0,166.80000000012078 ms
0,171.2500000001218 ms
0,176.25000000012292 ms
0,181.60000000012414 ms
0,185.15000000012495 ms
0,188.75000000012577 ms
0,192.65000000012665 ms
0,199.65000000012824 ms
0,205.6000000001296 ms
0,210.60000000013073 ms
0,214.25000000013156 ms
0,217.85000000013238 ms
0,223.75000000013372 ms
0,227.00000000013446 ms
0,231.00000000013537 ms
0,234.90000000013626 ms
0,239.40000000013728 ms
0,242.75000000013804 ms
0,247.20000000013906 ms
0,253.80000000014056 ms
0,260.15000000013725 ms
0,265.75000000013216 ms
0,270.6500000001277 ms
0,274.35000000012434 ms
0,280.40000000011884 ms
0,284.1500000001154 ms
0,288.0000000001119 ms
0,292.60000000010774 ms
0,295.80000000010483 ms
0,300.2500000001008 ms
0,303.60000000009774 ms
0,308.20000000009355 ms
0,311.85000000009023 ms
0,316.3000000000862 ms
0,320.0500000000828 ms
0,325.0500000000782 ms
0,329.3500000000743 ms
0,333.000000000071 ms
0,337.45000000006695 ms
0,341.0500000000637 ms
0,346.7500000000585 ms
0,351.9000000000538 ms
0,355.35000000005067 ms
0,358.90000000004744 ms
0,362.20000000004444 ms
0,366.3000000000407 ms
0,370.8000000000366 ms
0,374.85000000003294 ms
0,378.7500000000294 ms
0,382.55000000002593 ms
0,385.85000000002293 ms
0,390.65000000001857 ms
0,396.3000000000134 ms
0,400.00000000001006 ms
0,405.05000000000547 ms
0,409.3000000000016 ms
0,413.44999999999783 ms
0,418.749999999993 ms
0,421.99999999999005 ms
0,425.84999999998655 ms
0,429.69999999998305 ms
0,435.94999999997736 ms
0,441.44999999997236 ms
0,446.29999999996795 ms
0,450.59999999996404 ms
0,454.7999999999602 ms
0,458.9999999999564 ms
0,463.24999999995254 ms
0,469.04999999994726 ms
0,473.69999999994303 ms
0,478.0499999999391 ms
0,482.6499999999349 ms
0,487.64999999993034 ms
0,491.299999999927 ms
0,495.1499999999235 ms
0,498.3499999999206 ms
0,503.399999999916 ms
0,506.89999999991284 ms
0,513.7999999999066 ms
0,518.3499999999025 ms
0,522.3999999998988 ms
0,527.4999999998942 ms
0,531.7499999998903 ms
0,535.4999999998869 ms
0,538.7499999998839 ms
0,542.8499999998802 ms
0,546.4499999998769 ms
0,550.6499999998731 ms
0,554.7999999998693 ms
0,558.6999999998658 ms
0,564.5499999998605 ms
0,570.0999999998554 ms
0,578.3499999998479 ms
0,581.7499999998448 ms
0,585.949999999841 ms
0,589.4999999998378 ms
0,593.3499999998343 ms
0,599.8999999998283 ms
0,603.3999999998251 ms
0,608.2499999998207 ms
0,611.6999999998176 ms
0,615.599999999814 ms
0,619.6999999998103 ms
0,625.6499999998049 ms
0,629.1499999998017 ms
0,633.4499999997978 ms
0,636.9999999997946 ms
0,640.8499999997911 ms
0,646.449999999786 ms
0,652.2999999997807 ms
0,655.5999999997777 ms
0,659.1999999997744 ms
0,663.1499999997708 ms
0,666.5999999997676 ms
0,670.6999999997639 ms
0,674.8999999997601 ms
0,678.0499999997572 ms
0,681.7999999997538 ms
0,686.2999999997497 ms
0,691.0499999997454 ms
0,695.1999999997416 ms
0,704.8999999997328 ms
0,709.3499999997288 ms
0,717.1999999997216 ms
0,721.199999999718 ms
0,725.599999999714 ms
0,729.7999999997102 ms
0,735.7499999997048 ms
0,740.1499999997008 ms
0,744.8499999996965 ms
0,749.8499999996919 ms
0,753.4999999996886 ms
0,757.6999999996848 ms
0,761.7499999996811 ms
0,765.7499999996775 ms
0,769.8499999996737 ms
0,773.1499999996707 ms
0,778.299999999666 ms
0,782.1999999996625 ms
0,785.7999999996592 ms
0,789.7999999996556 ms
0,793.5999999996521 ms
0,799.1499999996471 ms
0,803.599999999643 ms
0,809.2499999996379 ms
0,814.649999999633 ms
0,818.6499999996294 ms
0,822.0999999996262 ms
0,825.3499999996233 ms
0,829.1499999996198 ms
0,833.5499999996158 ms
0,837.5999999996121 ms
0,841.3499999996087 ms
0,845.0999999996053 ms
0,849.9499999996009 ms
0,853.9499999995973 ms
0,858.8499999995928 ms
0,864.9999999995872 ms
0,869.5499999995831 ms
0,873.5499999995794 ms
0,878.2499999995752 ms
0,881.6499999995721 ms
0,885.5999999995685 ms
0,888.9999999995654 ms
0,892.649999999562 ms
0,896.8499999995582 ms
0,901.449999999554 ms
0,907.5499999995485 ms
0,911.2999999995451 ms
0,915.0499999995417 ms
0,919.2499999995379 ms
0,922.399999999535 ms
0,926.4499999995313 ms
0,933.8499999995246 ms
0,939.5999999995194 ms
0,943.5499999995158 ms
0,949.3999999995104 ms
0,957.4499999995031 ms
0,962.0999999994989 ms
0,965.7999999994955 ms
0,969.3999999994923 ms
0,972.999999999489 ms
0,977.6499999994847 ms
0,982.3999999994804 ms
0,987.6999999994756 ms
0,991.4999999994722 ms
0,995.6499999994684 ms
0,1000.0999999994643 ms
0,1004.4499999994604 ms
0,1008.3999999994568 ms
0,1012.549999999453 ms
0,1018.7999999994473 ms
0,1022.8499999994436 ms
0,1025.8999999994494 ms
0,1030.0999999994647 ms
0,1034.6999999994814 ms
0,1038.8499999994965 ms
0,1042.6499999995103 ms
0,1048.9499999995332 ms
0,1052.5999999995465 ms
0,1055.8999999995585 ms
0,1061.499999999579 ms
0,1065.5999999995938 ms
0,1070.04999999961 ms
0,1074.5999999996266 ms
0,1081.9499999996533 ms
0,1087.4999999996735 ms
0,1091.499999999688 ms
0,1094.7999999997 ms
0,1098.9999999997153 ms
0,1102.7999999997292 ms
0,1107.6499999997468 ms
0,1110.9499999997588 ms
0,1114.7999999997728 ms
0,1118.699999999787 ms
0,1123.099999999803 ms
0,1127.3499999998185 ms
0,1133.0499999998392 ms
0,1136.4499999998516 ms
0,1140.949999999868 ms
0,1144.5999999998812 ms
0,1148.6999999998961 ms
0,1152.8999999999114 ms
0,1156.2999999999238 ms
0,1162.4999999999463 ms
0,1166.8999999999623 ms
0,1173.2999999999856 ms
0,1178.2000000000035 ms
0,1182.0000000000173 ms
0,1186.2500000000327 ms
0,1190.700000000049 ms
0,1195.2000000000653 ms
0,1198.6000000000777 ms
0,1203.4500000000953 ms
0,1207.7000000001108 ms
0,1211.9500000001262 ms
0,1215.9500000001408 ms
0,1219.4000000001533 ms
0,1224.0500000001703 ms
0,1228.0000000001846 ms
0,1232.2500000002 ms
0,1238.5000000002228 ms
0,1243.1500000002397 ms
0,1246.2000000002508 ms
0,1250.9500000002681 ms
0,1254.4500000002809 ms
0,1260.550000000303 ms
0,1263.9500000003154 ms
0,1269.0000000003338 ms
0,1276.9500000003627 ms
0,1280.5000000003756 ms
0,1284.6000000003905 ms
0,1288.4000000004044 ms
0,1292.8000000004204 ms
0,1296.300000000433 ms
0,1301.200000000451 ms
0,1305.4000000004662 ms
0,1309.9000000004826 ms
0,1317.2500000005093 ms
0,1320.5000000005211 ms
0,1324.600000000536 ms
0,1329.3500000005533 ms
0,1333.100000000567 ms
0,1337.3500000005824 ms
0,1340.6500000005944 ms
0,1346.000000000614 ms
0,1350.45000000063 ms
0,1356.3500000006516 ms
0,1360.4000000006663 ms
0,1364.700000000682 ms
0,1368.7500000006967 ms
0,1372.8500000007116 ms
0,1377.0500000007269 ms
0,1381.4500000007429 ms
0,1386.0000000007594 ms
0,1389.8500000007734 ms
0,1395.1500000007927 ms
0,1400.150000000811 ms
0,1404.4500000008265 ms
0,1409.1000000008435 ms
0,1416.650000000871 ms
0,1420.500000000885 ms
0,1425.9500000009048 ms
0,1432.4500000009284 ms
0,1437.1500000009455 ms
0,1441.700000000962 ms
0,1446.5000000009795 ms
0,1450.4000000009937 ms
0,1454.85000000101 ms
0,1459.1500000010255 ms
0,1463.6000000010417 ms
0,1467.250000001055 ms
0,1471.5500000010707 ms
0,1474.8000000010825 ms
0,1478.1000000010945 ms
0,1482.0500000011089 ms
0,1486.6500000011256 ms
0,1490.5000000011396 ms
0,1498.9500000011703 ms
0,1503.000000001185 ms
0,1509.85000000121 ms
0,1515.2000000012295 ms
0,1518.7000000012422 ms
0,1523.7000000012604 ms
0,1528.300000001277 ms
0,1532.1500000012911 ms
0,1537.4000000013102 ms
0,1543.7000000013331 ms
0,1548.5500000013508 ms
0,1553.5000000013688 ms
0,1557.7500000013843 ms
0,1563.3000000014044 ms
0,1567.1500000014184 ms
0,1572.4000000014375 ms
0,1576.2000000014514 ms
0,1581.1500000014694 ms
0,1585.450000001485 ms
0,1589.8000000015008 ms
0,1593.3500000015138 ms
0,1597.8500000015301 ms
0,1601.7000000015441 ms
0,1605.7500000015589 ms
0,1614.6500000015913 ms
0,1618.1000000016038 ms
0,1622.9000000016213 ms
0,1627.4500000016378 ms
0,1634.7500000016644 ms
0,1638.200000001677 ms
0,1643.450000001696 ms
0,1647.2000000017097 ms
0,1652.7500000017299 ms
0,1656.1500000017422 ms
