neuron_id,spike_time
0,16.2 ms
0,22.849999999999998 ms
0,24.600000000000005 ms
0,27.349999999999998 ms
0,29.8 ms
0,39.25 ms
0,43.599999999999994 ms
0,51.75 ms
0,67.6 ms
0,69.04999999999998 ms
0,71.85 ms
0,79.19999999999999 ms
0,109.0 ms
0,109.5 ms
0,110.44999999999999 ms
0,115.39999999999998 ms
0,144.29999999999995 ms
0,154.04999999999995 ms
0,172.7 ms
0,172.84999999999997 ms
0,173.55 ms
0,181.95 ms
0,188.8 ms
0,208.8 ms
0,217.39999999999998 ms
0,219.89999999999998 ms
0,224.14999999999998 ms
0,229.89999999999998 ms
0,230.2 ms
0,234.0 ms
0,234.3 ms
0,239.0 ms
0,248.2 ms
0,250.3 ms
0,259.5 ms
0,273.4 ms
0,277.79999999999995 ms
0,281.94999999999993 ms
0,318.54999999999995 ms
0,331.9 ms
0,368.04999999999995 ms
0,370.15 ms
0,389.6 ms
0,397.1 ms
0,402.85 ms
0,409.15 ms
0,410.5 ms
0,423.35 ms
0,427.0 ms
0,428.5 ms
0,438.70000000000005 ms
0,440.25 ms
0,465.1 ms
0,467.0 ms
0,492.70000000000005 ms
0,512.35 ms
0,538.15 ms
0,544.7999999999998 ms
0,562.8499999999998 ms
0,587.3999999999997 ms
0,601.4999999999999 ms
0,605.7499999999999 ms
0,607.0499999999998 ms
0,619.2499999999999 ms
0,623.6 ms
0,628.9499999999999 ms
0,631.3000000000001 ms
0,647.9499999999999 ms
0,651.3000000000001 ms
0,655.1999999999999 ms
0,697.4 ms
0,699.4499999999999 ms
0,717.5999999999998 ms
0,772.9499999999999 ms
0,794.9999999999999 ms
0,802.5499999999998 ms
0,820.6999999999997 ms
0,834.7499999999997 ms
0,854.6499999999997 ms
0,856.5999999999998 ms
0,874.9999999999997 ms
0,889.2999999999996 ms
0,891.1999999999997 ms
0,894.9999999999997 ms
0,898.0999999999998 ms
0,917.0999999999996 ms
0,961.1999999999997 ms
0,967.3499999999996 ms
0,973.2499999999997 ms
0,977.2499999999997 ms
0,982.8499999999998 ms
0,984.9999999999997 ms
0,995.2499999999997 ms
0,1027.7499999999995 ms
0,1053.1999999999994 ms
0,1054.7499999999995 ms
0,1077.1499999999996 ms
0,1077.9499999999998 ms
0,1085.1499999999996 ms
0,1094.4499999999998 ms
0,1095.6999999999998 ms
0,1108.9999999999995 ms
0,1109.9999999999995 ms
0,1110.9499999999994 ms
0,1115.1999999999994 ms
0,1124.1499999999996 ms
0,1129.3499999999995 ms
0,1131.25 ms
0,1184.5 ms
0,1208.3999999999996 ms
0,1224.0500000000002 ms
0,1265.3999999999996 ms
0,1284.5500000000002 ms
0,1289.6999999999998 ms
0,1292.8500000000004 ms
0,1297.75 ms
0,1301.2000000000003 ms
0,1301.3500000000004 ms
0,1314.4000000000005 ms
0,1320.2000000000003 ms
0,1344.9 ms
0,1366.2000000000003 ms
0,1373.0500000000002 ms
0,1388.9500000000003 ms
0,1397.6000000000004 ms
0,1413.3500000000004 ms
0,1417.4000000000005 ms
0,1422.5 ms
0,1435.25 ms
0,1436.75 ms
0,1439.25 ms
0,1478.4000000000005 ms
0,1481.8500000000004 ms
0,1497.3000000000002 ms
0,1500.1500000000005 ms
